text,211,211,211
image,0,0,0
log_in,0,255,255
sign_up,255,0,0
username,255,0,255
password,0,255,0
icon,0,0,255
forgot,255,215,0
sm_button,0,191,255
button,255,20,147
box,173,255,47
privacy,0,0,128
check,0,250,154
name,220,20,60
navigation_dots,240,230,140
number,30,144,255
selector,184,134,11
search,221,160,221
edit_number,34,139,34
edit_string,138,43,226
filter,139,69,19
top_bar,0,139,139
heart_icon,139,0,139
sort,250,128,114
rating,85,107,47
bottom_bar,176,48,96
cart_add,143,188,143
other,72,61,139
buy,105,105,105
